name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011
TotalLiabilitiesNetMinorityInterest,"351,555,000","383,228,000","366,281,000","330,518,000","314,640,000","307,719,000","298,042,000","282,831,000","287,238,000","302,367,000","300,984,000","289,032,000","292,513,000","244,821,000","244,622,000","234,342,000","249,383,000","263,191,000","245,169,000","219,421,000","210,639,000","215,082,000","213,988,000","194,244,000","192,171,000","180,556,000","172,107,000","165,737,000","158,954,000","132,344,000","125,770,000","117,854,000","107,639,000","95,889,000","85,756,000","76,946,000","74,162,000","70,180,000","76,550,000","76,774,000","88,091,000","82,783,000"
	CurrentLiabilities,"303,886,000","333,784,000","315,454,000","282,536,000","265,323,000","256,929,000","245,230,000","228,882,000","232,306,000","245,894,000","247,858,000","228,818,000","232,210,000","223,303,000","226,649,000","216,004,000","230,921,000","245,742,000","230,366,000","205,694,000","196,137,000","203,497,000","202,822,000","183,817,000","170,425,000","160,784,000","154,848,000","147,710,000","141,374,000","120,327,000","114,070,000","106,060,000","98,087,000","91,928,000","84,047,000","75,106,000","73,291,000","69,291,000","71,096,000","75,983,000","53,273,000","46,510,000"
		PayablesAndAccruedExpenses,"87,711,000","95,096,000","91,420,000","82,592,000","78,458,000","65,188,000","63,849,000","61,404,000","65,756,000","64,385,000","73,847,000","69,158,000","70,808,000","66,415,000","64,350,000","62,984,000","74,673,000","66,085,000","62,427,000","56,425,000","58,573,000","55,152,000","64,374,000","53,218,000","52,120,000","47,292,000","46,965,000","47,859,000","48,210,000","34,028,000","33,792,000","33,052,000","32,453,000","30,603,000","29,104,000","24,460,000","28,152,000","20,950,000","22,787,000","42,267,000","20,957,000","15,583,000"
			Payables,"57,581,000","60,584,000","55,418,000","56,656,000","54,946,000","45,942,000","46,253,000","45,068,000","45,490,000","43,032,000","43,766,000","42,977,000","44,560,000","43,686,000","43,092,000","43,512,000","46,938,000","41,709,000","44,389,000","37,037,000","47,971,000","42,082,000","53,509,000","44,976,000","44,441,000","39,551,000","41,069,000","43,048,000","40,745,000","27,924,000","28,297,000","26,633,000","26,025,000","22,643,000","23,233,000","21,725,000","24,411,000","17,801,000","11,285,000","31,823,000","11,386,000","12,967,000"
				AccountsPayable,"7,208,000","10,092,000","5,118,000","5,402,000","6,088,000","2,442,000","4,109,000","4,504,000","4,125,000","6,104,000","4,186,000","3,888,000","4,941,000","7,212,000","4,022,000","4,607,000","8,705,000","7,160,000","10,210,000","3,042,000","11,699,000","7,305,000","15,303,000","10,590,000","8,989,000","6,816,000","9,045,000","9,298,000","8,949,000","5,334,000","5,686,000","5,483,000","5,446,000","4,164,000","5,248,000","3,213,000","2,792,000","2,606,000","2,325,000","2,624,000","3,144,000","1,838,000"
				TotalTaxPayable,"20,557,000","21,488,000","20,784,000","20,937,000","20,630,000","17,164,000","17,168,000","16,316,000","15,728,000","11,735,000","14,343,000","15,079,000","14,463,000","13,503,000","15,736,000","15,599,000","15,044,000","14,461,000","14,107,000","13,218,000","12,513,000","14,304,000","18,920,000","15,116,000","16,562,000","14,913,000","14,410,000","16,315,000","15,269,000","10,657,000","10,372,000","10,305,000","9,637,000","9,299,000","8,983,000","10,370,000","13,633,000","8,211,000","2,226,000","2,028,000","1,895,000","5,868,000"
					IncomeTaxPayable,,,,,,,,,,,,,,,,,,,,,,,"845,000","516,000","385,000","953,000","993,000","1,171,000","945,000",,,,,,,,"4,626,000",,,"0","0","0"
				OtherPayable,"29,816,000","29,004,000","29,516,000","30,317,000","28,228,000","26,336,000","24,976,000","24,248,000","25,637,000","25,193,000","25,237,000","24,010,000","25,156,000","22,971,000","23,334,000","23,306,000","23,189,000","20,088,000","20,072,000","20,777,000","23,759,000","20,473,000","19,286,000","19,270,000","18,890,000","17,822,000","17,614,000","17,435,000","16,527,000","11,933,000","12,239,000","10,845,000","10,942,000","9,180,000","9,002,000","8,142,000","7,986,000","6,984,000","6,734,000","27,171,000","6,347,000","5,261,000"
			CurrentAccruedExpenses,"30,130,000","34,512,000","36,002,000","25,936,000","23,512,000","19,246,000","17,596,000","16,336,000","20,266,000","21,353,000","30,081,000","26,181,000","26,248,000","22,729,000","21,258,000","19,472,000","27,735,000","24,376,000","18,038,000","19,388,000","10,602,000","13,070,000","10,865,000","8,242,000","7,679,000","7,741,000","5,896,000","4,811,000","7,465,000","6,104,000","5,495,000","6,419,000","6,428,000","7,960,000","5,871,000","2,735,000","3,741,000","3,149,000","11,502,000","10,444,000","9,571,000","2,616,000"
		PensionandOtherPostRetirementBenefitPlansCurrent,"23,444,000","43,529,000","38,257,000","27,016,000","21,311,000","31,499,000","26,613,000","18,902,000","17,300,000","20,776,000","18,761,000","12,018,000","13,176,000","15,153,000","18,208,000","11,270,000","12,264,000","19,897,000","19,844,000","11,762,000","9,454,000","13,732,000","10,186,000","8,405,000","7,459,000","8,995,000","8,649,000","6,346,000","5,275,000","8,312,000","6,527,000","5,749,000","2,934,000","6,379,000","4,810,000","3,752,000","1,622,000","4,246,000",,,,"2,391,000"
