name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010
InterestExpense,"2,603,000","597,000","643,000","668,000","695,000","689,000","700,000","700,000","695,000","548,000","518,000","542,000","547,000","542,000","446,000","423,000","181,000","174,000",,,,,,,,,"0","0","0","0","3,000","4,000","6,000","11,000","13,000","14,000","15,000","17,000","18,000","20,000","21,000","735,000","564,000","117,000","26,000","27,000","21,000","24,000"
NetInterestIncome,"-1,827,000","-375,000","-477,000","-504,000","-471,000","-384,000","-295,000","-201,000","-119,000","436,000","595,000","769,000","871,000","579,000","611,000","643,000","611,000","439,000","363,000","350,000","336,000","317,000","251,000","259,000","161,000","86,000","86,000","95,000","100,000","103,000","100,000","112,000","123,000","135,000","128,000","120,000","95,000","99,000","104,000","121,000","146,000","-632,000","-481,000","-22,000","79,000","92,000","93,000","92,000"
EBIT,"-138,049,000","-38,011,000","-39,885,000","-21,639,000","-38,514,000","-29,022,000","-29,176,000","-23,360,000","20,962,000","-21,139,000","-15,010,000","-12,320,000","-14,603,000","-11,407,000","-10,339,000","-10,467,000","-6,693,000","-9,243,000","40,662,000","-6,910,000","-9,576,000","-6,313,000","-7,159,000","-7,331,000","-10,144,000","-15,329,000","-11,574,000","-11,647,000","-12,078,000","-12,006,000","-12,187,000","-10,937,000","-12,255,000","-11,526,000","-9,530,000","-9,419,000","-9,489,000","-10,176,000","-9,779,000","-10,096,000","-10,872,000","-8,350,000","18,796,000","-8,541,000","-7,877,000","-6,261,000","5,102,000","-8,063,000"
EBITDA,"-134,010,000"
ReconciledCostOfRevenue,"507,000","205,000","302,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","0","0"
ReconciledDepreciation,"4,039,000","1,017,000","1,016,000","1,003,000","1,003,000","117,000","395,000","-568,000","530,000","440,000","426,000","417,000","419,000","380,000","141,000","144,000","116,000","111,000","107,000","108,000","105,000","98,000","88,000","87,000","87,000","86,000","102,000","116,000","126,000","133,000","129,000","129,000","132,000","153,000","150,000","143,000","141,000","142,000","136,000","145,000","152,000","159,000","185,000","189,000","191,000","189,000","175,000","167,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"-140,652,000","-38,608,000","-40,528,000","-22,307,000","-39,209,000","-29,711,000","-29,876,000","-24,060,000","20,267,000","-21,687,000","-15,528,000","-12,862,000","-15,150,000","-11,949,000","-10,785,000","-10,890,000","-6,874,000","-9,417,000","39,655,000","-6,560,000","-9,240,000","-5,996,000","-7,665,000","-7,072,000","-9,983,000","-15,243,000","-11,574,000","-11,647,000","-12,078,000","-12,006,000","-12,190,000","-10,941,000","-12,261,000","-11,537,000","-9,543,000","-9,433,000","-9,504,000","-10,193,000","-9,797,000","-10,116,000","-10,893,000","-9,085,000","18,232,000","-8,658,000","-7,903,000","-6,288,000","5,081,000","-8,720,000"
TotalUnusualItemsExcludingGoodwill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,"0","16,000",,,"1,944,000","-10,000"
TotalUnusualItems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,"0","16,000",,,"1,944,000","-10,000"
NormalizedEBITDA,"-134,010,000","-36,994,000","-38,869,000","-20,636,000","-37,511,000","-28,905,000","-28,781,000","-23,360,000","21,492,000","-20,699,000","-14,584,000","-11,903,000","-14,184,000","-11,027,000","-10,198,000","-10,323,000","-6,577,000","-9,132,000","40,769,000","-6,802,000","-9,471,000","-6,215,000","-7,071,000","-7,244,000","-10,057,000","-15,243,000","-11,472,000","-11,531,000","-11,952,000","-11,873,000","-12,058,000","-10,808,000","-12,123,000","-11,373,000","-9,380,000","-9,276,000","-9,348,000","-10,034,000","-9,643,000","-9,951,000","-10,720,000","-8,191,000","18,981,000","-8,368,000","-7,686,000","-6,072,000","5,277,000","-7,886,000"
TaxRateForCalcs,"0","0","0","0","0","0","0","0","0.27","0","0","0","0","0","0","0","0","0","0.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.35"
TaxEffectOfUnusualItems,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-3,500"
