name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,12/31/2004
				ChangeInPayable,"51,149,000","-54,970,000","62,940,000","-64,153,000","107,332,000","-80,092,000","-58,645,000","-28,477,000","239,100,000","-192,651,000","126,794,000","-125,010,000","236,102,000","-178,428,000","63,766,000","-197,517,000","227,058,000","-66,894,000","59,214,000","2,090,000","175,373,000","-90,982,000","134,353,000","-77,803,000","146,872,000","-976,000","-80,738,000","-111,976,000","130,065,000","40,066,000","-69,099,000","-57,438,000","168,533,000","7,141,000","-27,702,000","-35,300,000","88,202,000","-10,558,000","13,970,000","-11,096,000","51,822,000","-19,326,000","-10,697,000","7,981,000","21,947,000","2,545,000","-5,446,000","8,027,000","13,663,000","-86,000","9,499,000","-11,022,000","7,477,000","-10,340,000",,,,,,,,,,,,,,
					ChangeInTaxPayable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23,242,000","1,227,000","-13,274,000","-9,058,000","21,921,000","-7,278,000","-1,018,000",,,,,,,,,,,,,,,,,,,,,,
						ChangeInIncomeTaxPayable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23,242,000","1,227,000","-13,274,000","-9,058,000","21,921,000","-7,278,000","-1,018,000",,,,,,,,,,,,,,,,,,,,,,
					ChangeInAccountPayable,"51,149,000","-54,970,000","62,940,000","-64,153,000","107,332,000","-80,092,000","-58,645,000","-28,477,000","239,100,000","-192,651,000","126,794,000","-125,010,000","236,102,000","-178,428,000","63,766,000","-197,517,000","227,058,000","-66,894,000","59,214,000","2,090,000","175,373,000","-90,982,000","134,353,000","-77,803,000","146,872,000","-976,000","-80,738,000","-111,976,000","130,065,000","40,066,000","-69,099,000","-57,438,000","168,533,000","7,141,000","-27,702,000","-35,300,000","88,202,000","-10,558,000","25,165,000","-34,338,000","50,595,000","-6,052,000","-1,639,000","-13,940,000","29,225,000","3,563,000","-5,446,000","8,027,000","13,663,000","-86,000","9,499,000","-11,022,000","7,477,000","-10,340,000",,,,,,,,,,,,,,
				ChangeInAccruedExpense,"-115,542,000","-122,589,000","8,479,000","22,215,000","-23,647,000","-121,841,000","16,812,000","71,050,000","4,355,000","226,315,000","33,479,000","-4,372,000","51,411,000","-99,505,000","21,297,000","64,358,000","52,872,000","-3,933,000","34,297,000","42,100,000","26,173,000","7,253,000","14,557,000","70,617,000","-41,145,000","8,627,000","19,263,000","44,220,000","14,907,000","-14,264,000","8,676,000","34,466,000","11,555,000","-25,841,000","19,077,000","34,592,000","14,592,000","-11,780,000","4,355,000","23,269,000","20,383,000","-26,041,000","20,672,000","12,155,000","6,296,000","-15,681,000","11,431,000","13,059,000","1,788,000","-4,948,000","-3,437,000","11,546,000","3,800,000","-253,000",,,,,,,,,,,,,,
			ChangeInOtherCurrentAssets,"87,943,000","27,628,000","27,603,000","13,249,000","19,463,000","19,467,000","28,376,000","13,412,000","34,834,000","-336,357,000","14,027,000","-6,873,000","-8,782,000","21,594,000",,"-2,364,000","1,499,000","-731,000",,"-13,005,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			ChangeInOtherCurrentLiabilities,"-32,310,000","-4,398,000","-9,789,000","-4,642,000","-13,481,000","-10,949,000","3,914,000","-4,534,000","-10,296,000","-8,334,000","8,000,000","-28,621,000","-27,921,000","-32,168,000","456,000","-2,507,000","-43,120,000","350,312,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,697,000",,"14,135,000","-11,109,000","-39,000",,"5,347,000","1,158,000","-5,733,000","7,008,000","13,181,000","4,411,000","-9,283,000","3,867,000","10,145,000","-4,661,000","1,330,000","-3,179,000",
			ChangeInOtherWorkingCapital,"1,328,000","4,564,000","-34,653,000","27,107,000","4,310,000","1,263,000","-15,648,000","10,849,000","11,460,000","-4,150,000","26,295,000","-6,223,000","-6,281,000","5,071,000","40,273,000","13,494,000","-9,911,000","-2,805,000","47,110,000","-39,954,000","-27,151,000","-19,169,000","-57,637,000","83,905,000","4,768,000","-47,748,000","-11,853,000","49,584,000","17,986,000","-58,250,000","-23,350,000","50,802,000","4,440,000","-28,505,000","-12,134,000","30,963,000","205,000","-11,591,000",,,,,,,,"-1,018,000","-7,475,000","16,065,000",,,,,,,"-8,341,000","15,859,000",,,,"8,436,000","-4,671,000","6,168,000","-5,301,000","-24,000","-19,000","-5,000","1,605,000","-1,873,000"
InvestingCashFlow,"-100,365,000","-39,923,000","-12,099,000","-29,160,000","-19,183,000","-7,904,000","176,832,000","-21,435,000","-20,211,000","-68,841,000","-40,073,000","-28,997,000","-42,132,000","-35,911,000","-48,681,000","-28,158,000","-70,135,000","-55,930,000","-55,415,000","-60,299,000","-75,483,000","-91,790,000","-65,097,000","-67,503,000","-145,383,000","-103,156,000","-66,654,000","-73,555,000","-97,044,000","-610,222,000","-44,068,000","-28,159,000","-29,185,000","-50,900,000","-173,869,000","-22,362,000","-23,542,000","-18,329,000","-9,215,000","-13,760,000","-14,919,000","-9,037,000","-11,563,000","-42,597,000","-19,425,000","-15,851,000","-18,927,000","-7,324,000","-8,055,000","-7,479,000","-3,796,000","-4,515,000","-3,506,000","-8,063,000","-8,357,000","-11,168,000","-11,122,000","-11,419,000","-7,722,000","-10,013,000","-8,307,000","-8,042,000","-4,158,000","-2,559,000","-3,810,000","-4,588,000","-2,606,000","-2,436,000"
	CashFlowFromContinuingInvestingActivities,"-100,365,000","-39,923,000","-12,099,000","-29,160,000","-19,183,000","-7,904,000","176,832,000","-21,435,000","-20,211,000","-68,841,000","-40,073,000","-28,997,000","-42,132,000","-35,911,000","-48,681,000","-28,158,000","-70,135,000","-55,930,000","-55,415,000","-60,299,000","-75,483,000","-91,790,000","-65,097,000","-67,503,000","-145,383,000","-103,156,000","-66,654,000","-73,555,000","-97,044,000","-610,222,000","-44,068,000","-28,159,000","-29,185,000","-50,900,000","-173,869,000","-22,362,000","-23,542,000","-18,329,000","-9,215,000","-13,760,000","-14,919,000","-9,037,000","-11,563,000","-42,597,000","-19,425,000","-15,851,000","-18,927,000","-7,324,000","-8,055,000","-7,479,000","-3,796,000","-4,515,000","-3,506,000","-8,063,000","-8,357,000","-11,168,000","-11,122,000","-11,419,000","-7,722,000","-10,013,000","-8,307,000","-8,042,000","-4,158,000","-2,559,000","-3,810,000","-4,588,000","-2,606,000","-2,436,000"
