name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,04/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,04/30/2018,12/31/2017,09/30/2017,07/31/2017,06/30/2017,04/30/2017,03/31/2017,12/31/2016,09/30/2016,07/31/2016,06/30/2016,04/30/2016,03/31/2016,12/31/2015,09/30/2015,07/31/2015,06/30/2015,04/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,04/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,04/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,04/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001
		GainOnSaleOfBusiness,,,,,,,,,,,,,,,,"0","0",,"0","0",,"0",,"28,875,000",,,,,,,,,,,,,,"0","0","0","0",,"0","0","0","51,320,000",,,,,"0",,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherNonOperatingIncomeExpenses,,,"-1,772,000","950,000",,"125,000","73,000","7,225,000","72,000","-116,350,000","-482,000","-518,000","-519,000","413,000","413,000","-675,000","171,000","298,000","735,000","-1,619,000","-3,030,000",,"1,443,000",,,"-173,000","-1,832,000","-4,641,000",,,,,,,,,,"-15,387,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PretaxIncome,"285,998,000","110,112,000","52,042,000","50,900,000","72,944,000","94,886,000","74,630,000","57,460,000","76,412,000","-7,791,000","1,172,000","55,800,000","69,046,000","86,065,000","86,065,000","26,475,000","51,126,000","49,779,000","69,781,000","43,824,000","-56,496,000","66,888,000","66,888,000","95,077,000",,"17,286,000","61,448,000","78,425,000",,"92,378,000",,"50,021,000","68,873,000","79,181,000",,"94,956,000",,"40,407,000","68,971,000","63,647,000","95,029,000",,"54,666,000","50,157,000","72,150,000","146,649,000",,"55,974,000","49,123,000","44,482,000","59,193,000","59,193,000","36,951,000","48,028,000","43,707,000","63,280,000","47,137,000","47,880,000","52,192,000","63,171,000","47,836,000","51,174,000","49,044,000","59,705,000","49,987,000","43,401,000","37,880,000","57,646,000","33,594,000","36,523,000","36,120,000","46,848,000","25,418,000","29,269,000","31,904,000","36,848,000","19,802,000","22,854,000","29,325,000","33,642,000","13,503,000","23,826,000","24,645,000","29,126,000","20,591,000","20,679,000","22,397,000","22,200,000","-15,260,000","13,338,000","9,835,000","2,802,000","-8,033,000","11,351,000","5,006,000","-34,704,000"
TaxProvision,"65,877,000","24,523,000","12,720,000","12,048,000","16,586,000","23,231,000","18,806,000","13,113,000","18,493,000","-2,019,000","-1,047,000","12,442,000","15,951,000","20,199,000","20,199,000","5,634,000","11,496,000","4,337,000","18,534,000","-34,709,000","-22,925,000","22,148,000","22,148,000","34,659,000",,"4,244,000","21,232,000","27,270,000",,"33,015,000",,"17,775,000","25,077,000","27,421,000",,"33,567,000",,"12,397,000","24,372,000","21,583,000","33,963,000",,"16,146,000","16,269,000","25,690,000","33,374,000",,"17,407,000","17,892,000","16,102,000","21,250,000","21,250,000","13,913,000","17,009,000","15,497,000","22,119,000","15,699,000","16,714,000","18,436,000","22,484,000","16,078,000","18,150,000","17,947,000","21,872,000","17,732,000","15,519,000","13,931,000","20,562,000","12,768,000","12,788,000","12,914,000","16,500,000","9,544,000","10,425,000","11,566,000","13,769,000","7,491,000","8,257,000","10,843,000","13,270,000","5,776,000","9,158,000","9,363,000","10,774,000","7,932,000","7,961,000","8,623,000","8,547,000","-5,408,000","5,135,000","3,786,000","1,079,000","-3,291,000","2,875,000","1,304,000","-9,023,000"
NetIncomeCommonStockholders,"220,121,000","85,589,000","39,322,000","38,852,000","56,358,000","71,655,000","55,824,000","44,347,000","57,919,000","-5,772,000","2,219,000","43,358,000","53,095,000","65,866,000","65,866,000","20,841,000","39,630,000","45,442,000","51,247,000","78,533,000","-33,571,000","44,740,000","44,740,000","60,418,000",,"13,042,000","40,216,000","51,155,000",,"59,363,000",,"32,246,000","43,796,000","51,760,000",,"61,389,000",,"28,010,000","44,599,000","42,064,000","61,066,000",,"38,520,000","33,888,000","46,460,000","113,275,000",,"38,567,000","31,231,000","28,380,000","37,943,000","37,943,000","23,038,000","31,019,000","28,210,000","41,161,000","31,438,000","31,166,000","33,756,000","40,687,000","30,649,000","31,926,000","30,341,000","37,381,000","32,086,000","27,415,000","23,949,000","35,783,000","21,431,000","22,501,000","22,190,000","28,493,000","15,836,000","22,569,000","19,724,000","22,914,000","11,732,000","11,845,000","17,657,000","19,997,000","7,463,000","14,629,000","14,958,000","13,724,000","17,203,000","12,459,000","-9,344,000","-5,660,000","-32,930,000","8,203,000","6,049,000","1,723,000","-5,792,000","8,476,000","3,702,000","-20,681,000"
	NetIncome,"220,121,000","85,589,000","39,322,000","38,852,000","56,358,000","71,655,000","55,824,000","44,347,000","57,919,000","-5,772,000","2,219,000","43,358,000","53,095,000","65,866,000","65,866,000","20,841,000","39,630,000","45,442,000","51,247,000","78,533,000","-33,571,000","44,740,000","44,740,000","60,418,000",,"13,042,000","40,216,000","51,155,000",,"59,363,000",,"32,246,000","43,796,000","51,760,000",,"61,389,000",,"28,010,000","44,599,000","42,064,000","61,066,000",,"38,520,000","33,888,000","46,460,000","113,275,000",,"38,567,000","31,231,000","28,380,000","37,943,000","37,943,000","23,038,000","31,019,000","28,210,000","41,161,000","31,438,000","31,166,000","33,756,000","40,687,000","30,649,000","31,926,000","30,341,000","37,833,000","32,086,000","27,415,000","23,949,000","35,783,000","21,431,000","22,501,000","22,190,000","28,493,000","15,836,000","22,569,000","19,724,000","22,914,000","11,732,000","11,845,000","17,657,000","19,997,000","7,463,000","14,629,000","14,958,000","13,724,000","17,203,000","12,459,000","-9,344,000","-5,660,000","-32,930,000","8,203,000","6,049,000","1,723,000","-5,792,000","8,476,000","3,702,000","-20,681,000"
		NetIncomeIncludingNoncontrollingInterests,"220,121,000","85,589,000","39,322,000","38,852,000","56,358,000","71,655,000","55,824,000","44,347,000","57,919,000","-5,772,000","2,219,000","43,358,000","53,095,000","65,866,000","65,866,000","20,841,000","39,630,000","45,442,000","51,247,000","78,533,000","-33,571,000","44,740,000","44,740,000","60,418,000",,"13,042,000","40,216,000","51,155,000",,"59,363,000",,"32,246,000","43,796,000","51,760,000",,"61,389,000",,"28,010,000","44,599,000","42,064,000","61,066,000",,"38,520,000","33,888,000","46,460,000","113,275,000",,"38,567,000","31,231,000","28,380,000","37,943,000","37,943,000","23,038,000","31,019,000","28,210,000","41,161,000","31,438,000","31,166,000","33,756,000","40,687,000","31,758,000","33,024,000","31,097,000","38,285,000","32,255,000","27,882,000","25,086,000","37,084,000","20,826,000","23,735,000","23,206,000","30,348,000","15,874,000","24,353,000","20,338,000","23,733,000","12,311,000","12,970,000","18,482,000","20,372,000","7,727,000","14,668,000","15,282,000","14,866,000","17,203,000","12,459,000","-9,344,000","-5,660,000","-32,930,000","8,203,000","6,049,000","1,723,000","-5,792,000","8,476,000","3,702,000","-20,681,000"
			NetIncomeContinuousOperations,"220,121,000","85,589,000","39,322,000","38,852,000","56,358,000","71,655,000","55,824,000","44,347,000","57,919,000","-5,772,000","2,219,000","43,358,000","53,095,000","65,866,000","65,866,000","20,841,000","39,630,000","45,442,000","51,247,000","78,533,000","-33,571,000","44,740,000","44,740,000","60,418,000",,"13,042,000","40,216,000","51,155,000",,"59,363,000",,"32,246,000","43,796,000","51,760,000",,"61,389,000",,"28,010,000","44,599,000","42,064,000","61,066,000",,"38,520,000","33,888,000","46,460,000","113,275,000",,"38,567,000","31,231,000","28,380,000","37,943,000","37,943,000","23,038,000","31,019,000","28,210,000","41,161,000","31,438,000","31,166,000","33,756,000","40,687,000","31,758,000","33,024,000","31,097,000","38,285,000","29,181,000","27,882,000","23,949,000","35,783,000","21,431,000","22,501,000","22,190,000","28,493,000","15,836,000","17,060,000","19,724,000","22,260,000","11,732,000","13,472,000","17,657,000","19,997,000","7,463,000","14,629,000","14,958,000","17,210,000","12,659,000","12,718,000","13,774,000","13,653,000","-9,852,000","8,203,000","6,049,000","1,723,000","-4,742,000","8,476,000","3,702,000","-25,681,000"
			NetIncomeDiscontinuousOperations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","5,509,000",,"1,222,000","0","-1,627,000",,,"0",,,"-3,486,000","4,544,000","-259,000","-23,118,000","-19,313,000",,,,,,,,
			NetIncomeExtraordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,"-568,000",,,,,,,,,,,,,,,,,,,,
