name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,12/31/2008
				AccountsPayable,"4,731,000","8,330,000","3,752,000","5,942,000","5,081,000","5,354,000","5,036,000","4,256,000","4,602,000","4,274,000","4,367,000","3,708,000","4,391,000","4,440,000","3,853,000","3,709,000","3,472,000","4,463,000","3,089,000","2,720,000","3,580,000","2,302,000","2,442,000","3,581,000","3,900,000","2,163,000","2,381,000","3,706,000","3,444,000","3,961,000","2,098,000","2,999,000","2,243,000","1,798,000","1,685,000","1,650,000","2,034,000","1,857,000","2,739,000","1,944,000","1,240,000","1,411,000","1,387,000","1,821,000","1,579,000","998,000","1,058,000","983,000","1,208,000","1,345,000","938,000","804,000"
			CurrentAccruedExpenses,"6,632,000","8,345,000","7,110,000","5,221,000","10,018,000","11,161,000","6,042,000","5,067,000","5,374,000","6,207,000","4,874,000","4,964,000","4,619,000","4,558,000","3,976,000","4,758,000","4,111,000","4,712,000","3,991,000","3,723,000","4,459,000","3,508,000","2,509,000","3,887,000","2,926,000","1,987,000","2,338,000","2,129,000","2,796,000","2,470,000","1,801,000","1,805,000","3,069,000","2,801,000","2,665,000","3,420,000","1,063,000","1,077,000","1,276,000","1,560,000","1,311,000","1,097,000","1,126,000","1,260,000","4,306,000","807,000","4,740,000","4,393,000","4,124,000","1,073,000","3,946,000","2,487,000"
				InterestPayable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,000","5,000","36,000"
		PensionandOtherPostRetirementBenefitPlansCurrent,"21,930,000","31,661,000","30,986,000","27,469,000","20,428,000","22,872,000","19,374,000","16,950,000","13,132,000","22,303,000","17,660,000","15,883,000","11,974,000","20,415,000","15,498,000","14,347,000","11,617,000","15,886,000","12,681,000","13,243,000","12,272,000","13,740,000","11,796,000","12,053,000","11,333,000","11,150,000","9,922,000","9,468,000","10,303,000","9,926,000","10,044,000","7,639,000","7,694,000","7,981,000","8,404,000","6,511,000","6,697,000","6,038,000","6,634,000","4,806,000","4,548,000","5,118,000","5,189,000","3,836,000",,"3,577,000",,,,"3,005,000",,
		CurrentDebtAndCapitalLeaseObligation,"4,337,000","4,108,000","3,895,000","3,960,000","3,424,000","2,798,000","4,355,000","4,189,000","3,866,000","3,783,000","3,281,000","3,469,000","3,509,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"122,000","122,000","343,000","2,486,000","2,337,000","2,479,000","3,150,000"
			CurrentDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"122,000","343,000","2,486,000","1,999,000","2,027,000","2,709,000"
				LineOfCredit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","1,600,000","1,500,000",,
				OtherCurrentBorrowings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"122,000","343,000","886,000","499,000","2,027,000","2,709,000"
			CurrentCapitalLeaseObligation,"4,337,000","4,108,000","3,895,000","3,960,000","3,424,000","2,798,000","4,355,000","4,189,000","3,866,000","3,783,000","3,281,000","3,469,000","3,509,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","122,000",,,,"338,000","452,000","441,000"
		CurrentDeferredLiabilities,"56,798,000","50,428,000","49,185,000","48,845,000","44,481,000","37,947,000","35,582,000","36,273,000","34,929,000","31,463,000","30,351,000","30,376,000","28,889,000","27,109,000","26,347,000","25,564,000","22,896,000","18,086,000","17,864,000","18,230,000","17,307,000","12,611,000","13,487,000","13,625,000","12,415,000","8,934,000","8,795,000","8,537,000","8,207,000","8,203,000","6,961,000","6,912,000","6,493,000","6,335,000","6,452,000","6,174,000","5,827,000","5,499,000","5,262,000","4,366,000","4,077,000","3,840,000","3,806,000","3,734,000","3,549,000","3,585,000","3,674,000","3,688,000","3,593,000","3,530,000","3,779,000","3,067,000"
			CurrentDeferredRevenue,"56,798,000","50,428,000","49,185,000","48,845,000","44,481,000","37,947,000","35,582,000","36,273,000","34,929,000","31,463,000","30,351,000","30,376,000","28,889,000","25,328,000","24,948,000","24,191,000","21,583,000","16,407,000","16,209,000","16,624,000","15,803,000","11,055,000","12,157,000","12,281,000","11,334,000","7,740,000","8,072,000","7,833,000","7,530,000","7,505,000","6,961,000","6,912,000","6,493,000","6,335,000","6,452,000","6,174,000","5,827,000","5,499,000","5,262,000","4,366,000","4,077,000","3,840,000","3,806,000","3,734,000","3,549,000","3,585,000","3,674,000","3,688,000","3,593,000","3,530,000","3,779,000","3,067,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"27,359,000","28,715,000","25,827,000","26,092,000","25,882,000","25,605,000","22,357,000","21,618,000","22,728,000","24,534,000","20,996,000","21,874,000","23,111,000","10,627,000","8,215,000","8,606,000","9,149,000","15,553,000","16,223,000","16,926,000","16,894,000","16,937,000","17,230,000","17,767,000","17,758,000","15,312,000","14,716,000","14,174,000","13,896,000","14,124,000","12,814,000","12,680,000","11,963,000","11,642,000","12,004,000","10,705,000","10,169,000","9,913,000","8,003,000","7,873,000","7,294,000","6,599,000","6,329,000","5,708,000","5,546,000","5,283,000","4,913,000","4,650,000","71,025,000","71,095,000","70,670,000","71,533,000"
		LongTermDebtAndCapitalLeaseObligation,"15,338,000","16,426,000","16,697,000","17,733,000","18,743,000","19,672,000","16,725,000","17,920,000","18,957,000","20,085,000","16,224,000","16,890,000","17,723,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,"146,000","355,000","455,000","1,285,000"
			LongTermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146,000","233,000","333,000","732,000"
			LongTermCapitalLeaseObligation,"15,338,000","16,426,000","16,697,000","17,733,000","18,743,000","19,672,000","16,725,000","17,920,000","18,957,000","20,085,000","16,224,000","16,890,000","17,723,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,"122,000","122,000","553,000"
