name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008
			PurchaseOfInvestment,"-87,832,000","-62,834,000","0","-5,112,000","-19,886,000","-31,337,000",,,,,"-7,689,000","77,000","0","-1,772,000","-15,493,000","-10,190,000","-4,143,000","-17,122,000","-17,424,000","-24,449,000","-25,649,000","-26,532,000","-14,560,000","-8,572,000","-12,337,000","-13,688,000","-12,575,000","-10,524,000","-14,313,000","-10,710,000","-13,734,000","-13,968,000",,,,,,,,,,,,,,,"2,937,000","-25,217,000","-24,455,000","-2,931,000","0","1,108,000","-1,097,000","-11,000","-7,000","-121,000"
			SaleOfInvestment,"61,273,000","0","0","49,626,000","11,647,000","5,519,000","1,938,000","1,854,000","2,536,000","4,263,000","206,000","60,000","145,000","56,752,000","14,555,000","17,565,000","19,052,000","13,944,000","15,642,000","24,254,000","17,792,000","7,571,000","4,118,000","8,358,000","44,525,000","12,924,000","13,227,000","10,041,000","31,795,000","10,479,000","40,076,000","43,334,000","25,480,000","13,665,000","22,985,000","30,768,000",,,,,,,"0","0","0","0","0","0","0","487,000","441,000","1,403,000","-1,187,000","1,187,000","2,083,000","100,000"
		NetOtherInvestingChanges,"-69,819,000",,,,,,,,,,"40,000,000","60,000,000","-139,914,000","-29,905,000","-17,193,000",,,,,,,,"0","0","0","501,000",,,,,,,,"-62,711,000","101,125,000","-45,821,000","-31,269,000","5,377,000","-26,850,000","0","-5,481,000","5,661,000","-8,938,000","-1,787,000","4,240,000","2,753,000",,,,,,,,,,
FinancingCashFlow,"-1,233,533,000","-399,555,000","-526,568,000","-235,793,000","-71,617,000","-74,948,000","-44,311,000","-31,449,000","-16,595,000","-73,920,000","-133,882,000","-6,543,000","9,246,000","171,269,000","-4,576,000","-7,541,000","-1,899,000","-12,829,000","-2,729,000","-842,000","930,000","-33,092,000","16,999,000","-10,548,000","28,752,000","-14,548,000","-12,088,000","-1,590,000","-240,000","-1,303,000","-411,000","-1,196,000","-859,000","5,894,000","301,000","-1,249,000","4,030,000","1,680,000","73,294,000","-2,292,000","-1,277,000","1,547,000","-1,450,000","-92,000","-8,836,000","-14,892,000","-309,000","-899,000","-291,000","267,000","-17,000","14,358,000","10,460,000","-128,000","25,396,000","-2,330,000"
	CashFlowFromContinuingFinancingActivities,"-1,233,533,000","-399,555,000","-526,568,000","-235,793,000","-71,617,000","-74,948,000","-44,311,000","-31,449,000","-16,595,000","-73,920,000","-133,882,000","-6,543,000","9,246,000","171,269,000","-4,576,000","-7,541,000","-1,899,000","-12,829,000","-2,729,000","-842,000","930,000","-33,092,000","16,999,000","-10,548,000","28,752,000","-14,548,000","-12,088,000","-1,590,000","-240,000","-1,303,000","-411,000","-1,196,000","-859,000","5,894,000","301,000","-1,249,000","4,030,000","1,680,000","73,294,000","-2,292,000","-1,277,000","1,547,000","-1,450,000","-92,000","-8,836,000","-14,892,000","-309,000","-899,000","-291,000","267,000","-17,000","14,358,000","10,460,000","-128,000","25,396,000","-2,330,000"
		NetIssuancePaymentsOfDebt,"-99,488,000","0","-82,915,000","-43,287,000","26,714,000","-8,286,000","-8,286,000","-8,286,000","-8,286,000","-8,286,000","-115,474,000","82,000","7,809,000","190,150,000","-1,643,000","-1,643,000","-1,717,000","-1,716,000","-1,703,000","-1,702,000","-1,702,000","-26,698,000","11,303,000","-14,696,000","23,302,000","-2,133,000","-1,667,000","-1,743,000","-1,698,000","-1,676,000","-1,675,000","-1,675,000","-1,674,000","-1,672,000","-1,665,000","-1,688,000","-1,664,000","-1,672,000","79,238,000","-473,000","-470,000","-829,000","-892,000","-964,000","-1,198,000","-694,000","-724,000","-694,000","-788,000","-727,000","-1,039,000","-717,000","24,955,000","-384,000","-5,917,000","5,554,000"
			NetLongTermDebtIssuance,"-99,488,000","0","-82,915,000","-8,287,000","-8,286,000","-8,286,000","-8,286,000","-8,286,000","-8,286,000","-8,286,000","-115,474,000","82,000","7,809,000","190,150,000","-1,643,000","-1,643,000","-1,717,000","-1,716,000","-1,703,000","-1,702,000","-1,702,000","-1,698,000","11,303,000","-14,696,000","-1,698,000","-2,133,000","-1,667,000","-1,743,000","-1,698,000","-1,676,000","-1,675,000","-1,675,000","-1,674,000","-1,672,000","-1,665,000","-1,688,000","-1,664,000","-1,672,000","79,238,000","-473,000","-470,000","-829,000","-892,000","-964,000","-1,198,000","-694,000","-724,000","-694,000","-788,000","-727,000","-26,269,000","-717,000","24,955,000","-384,000",,
				LongTermDebtIssuance,,,,,,,,,,,"-26,250,000","0","20,000,000","250,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,"0",,,,
				LongTermDebtPayments,"-99,488,000","0","-82,915,000","-8,287,000","-8,286,000","-8,286,000","-8,286,000","-8,286,000","-8,286,000","-8,286,000","-89,224,000","82,000","-12,191,000","-59,850,000","-1,643,000","-1,643,000","-1,717,000","-1,716,000","-1,703,000","-1,702,000","-1,702,000","-1,698,000","11,303,000","-14,696,000","-1,698,000","-2,133,000","-1,667,000","-1,743,000","-1,698,000","-1,676,000","-1,675,000","-1,675,000","-1,674,000","-1,672,000","-1,665,000","-1,688,000","-1,664,000","-1,672,000","-19,972,000","-473,000","-470,000","-829,000","-892,000","-964,000","-1,198,000","-694,000","-724,000","-694,000","-788,000","-727,000","-722,000","-717,000","-592,000","-384,000",,
			NetShortTermDebtIssuance,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","-25,000,000","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,"25,230,000","0","0","0",,
