name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005
TotalLiabilitiesNetMinorityInterest,"101,435,000","88,864,000","86,446,000","86,425,000","75,564,000","80,190,000","75,333,000","75,047,000","72,139,000","72,803,000","73,542,000","75,789,000","72,761,000","56,708,000","50,520,000","51,655,000","76,171,000","74,038,000","75,237,000","79,253,000","76,578,000","79,044,000","79,278,000","80,424,000","83,728,000","80,023,000","74,607,000","73,946,000","61,167,000","10,887,000","78,112,000","85,287,000","99,999,000","99,225,000","105,088,000","111,928,000","118,658,000","125,543,000","134,456,000","140,754,000","145,679,000","149,144,000","158,056,000","163,900,000","169,765,000","175,370,000","183,195,122","192,836,744","199,289,111","202,683,223","8,898,095","11,836,943","3,984,394","3,913,569","4,478,251","10,172,660","10,740,125","13,131,849","15,595,208","9,285,562","7,362,644","9,503,404","10,330,866","17,200,693","11,125,668","5,087,963"
	CurrentLiabilities,"90,742,000","74,419,000","71,997,000","71,989,000","61,784,000","65,936,000","61,359,000","61,592,000","59,222,000","59,505,000","59,996,000","62,576,000","59,275,000","53,015,000","46,242,000","46,881,000","71,955,000","70,363,000","71,536,000","75,436,000","72,968,000","50,320,000","50,681,000","51,761,000","55,040,000","51,317,000","45,889,000","45,193,000","31,789,000","7,786,000","38,845,000","38,294,000","45,404,000","32,851,000","31,905,000","31,935,000","31,973,000","32,263,000","34,632,000","34,386,000","32,662,000","31,619,000","33,640,000","32,860,000","32,036,000","31,027,000","32,095,247","34,980,416","34,749,724","31,534,169","8,392,264","11,332,132","3,480,603","3,410,799","3,981,477","9,681,884","10,317,718","12,777,807","15,314,553","9,031,826","6,914,475","9,106,057","10,088,451","17,025,419","10,995,322","5,063,530"
		PayablesAndAccruedExpenses,"45,965,000","25,612,000","24,091,000","25,638,000","19,866,000","18,441,000","18,979,000","20,681,000","20,182,000","18,846,000","19,379,000","22,281,000","21,444,000","15,221,000","14,259,000","13,527,000","13,795,000","38,040,000","39,769,000","46,410,000","45,120,000","46,029,000","47,610,000","49,456,000","53,575,000","50,849,000","43,880,000","43,305,000","30,683,000","6,949,000","5,779,000","5,746,000","13,355,000","5,665,000","3,597,000","3,981,000","4,322,000","5,347,000","6,912,000","6,853,000","5,452,000","4,277,000","6,069,000","5,508,000","5,247,000","4,238,000","5,306,256","8,191,425","7,960,733","4,745,178","8,392,264","11,332,132","3,480,603","3,410,799","3,981,477","9,681,884","10,102,931","12,777,807","15,314,553","8,890,597","6,914,475","9,106,057","9,951,826","16,839,990","10,534,538","4,782,988"
			Payables,"19,426,000","6,798,000","7,360,000","8,035,000","7,121,000","6,866,000","7,043,000","7,936,000","6,707,000","7,577,000","8,091,000","7,454,000","6,545,000","6,704,000","6,677,000","6,605,000","6,376,000","6,388,000","5,515,000","5,427,000","4,972,000","5,689,000","7,764,000","7,469,000","6,769,000","7,012,000","6,187,000","6,631,000","5,657,000","835,000","547,000","248,000","953,000","661,000","369,000","1,167,000","1,113,000","287,000","1,090,000","1,689,000","780,000","996,000","3,441,000","3,558,000","3,106,000","2,914,000","3,530,210","6,783,441","6,608,228","2,423,877","6,346,236","6,916,901","1,415,384","512,382","899,035","5,825,757","1,825,933","2,988,069","3,446,423","2,600,433","2,010,347","2,783,249","2,112,395","5,062,970","3,378,138","2,254,897"
				AccountsPayable,"14,327,000","925,000","1,299,000","2,117,000",,,,,,,,,,,,,,"20,335,000",,,,"16,196,000",,"17,933,000","22,664,000","15,767,000",,"1,631,000","1,490,000","835,000","547,000","248,000","953,000","661,000","369,000","1,167,000","1,113,000","287,000","1,090,000","1,689,000","780,000","996,000","1,333,000","1,337,000","834,000","648,000","295,478","1,019,643","867,806","2,423,877","6,346,236","6,916,901","1,415,384","512,382","899,035","5,825,757","1,825,933","2,988,069","3,446,423","2,600,433","2,010,347","2,783,249","2,112,395","5,062,970","3,378,138","2,254,897"
				TotalTaxPayable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","2,108,000","2,221,000","2,272,000","2,266,000","3,234,732","5,763,798","5,740,422",,,,,,,,,,,,,,,,,
					IncomeTaxPayable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","2,108,000","2,221,000","2,272,000","2,266,000","3,234,732","5,763,798","5,740,422",,,,,,,,,,,,,,,,,
				OtherPayable,"5,099,000","5,873,000","6,061,000","5,918,000","7,121,000","6,866,000","7,043,000","7,936,000","6,707,000","7,577,000","8,091,000","7,454,000","6,545,000","6,704,000","6,677,000","6,605,000","6,376,000","6,388,000","5,515,000","5,427,000","4,972,000","5,689,000","7,764,000","7,469,000","6,769,000","7,012,000","6,187,000","5,000,000","4,167,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			CurrentAccruedExpenses,"26,539,000","18,814,000","16,731,000","17,603,000","12,745,000","11,575,000","11,936,000","12,745,000","13,475,000","11,269,000","11,288,000","14,827,000","14,899,000","8,517,000","7,582,000","6,922,000","7,419,000","31,652,000","34,254,000","40,983,000","40,148,000","40,340,000","39,846,000","41,987,000","46,806,000","43,837,000","37,693,000","36,674,000","25,026,000","6,114,000","5,232,000","5,498,000","12,402,000","5,004,000","3,228,000","2,814,000","3,209,000","5,060,000","5,822,000","5,164,000","4,672,000","3,281,000","2,628,000","1,950,000","2,141,000","1,324,000","1,776,046","1,407,984","1,352,505","2,321,301","2,046,028","4,415,231","2,065,219","2,898,417","3,082,442","3,856,127","8,276,998","9,789,738","11,868,130","6,290,164","4,904,128","6,322,808","7,839,431","11,777,020","7,156,400","2,528,091"
		CurrentProvisions,"39,348,000","39,981,000","40,177,000","40,201,000","35,679,000","34,427,000","32,273,000","33,194,000","33,177,000","31,915,000","33,004,000","33,269,000","31,852,000","31,231,000","27,196,000","26,319,000","27,713,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
