name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009
		OtherNonCashItems,"-738,731,000","-111,714,000","-365,781,000","-157,484,000","-103,752,000","-64,512,000","-99,143,000","-92,351,000","-76,000,000","55,652,000","-45,965,000","-83,492,000","132,969,000","60,077,000","127,225,000","-80,713,000","-59,387,000","-90,543,000","-116,619,000","-150,752,000","-163,132,000","-130,889,000","-141,038,000","-164,323,000","-144,980,000","-129,114,000","-148,773,000","-74,842,000","-100,016,000","-62,170,000","-120,093,000","-31,184,000","-76,799,000","-12,472,000","-15,710,000","-13,163,000","26,004,000","-7,515,000","-159,545,000","72,472,000","-23,573,000","116,295,000","91,555,000","-131,457,000","-93,033,000","125,774,000","626,605,000","-6,704,000","-20,339,000","-10,792,000","464,333,000"
		ChangeInWorkingCapital,"73,171,000","-25,523,000","-105,277,000","149,110,000","54,861,000","-6,210,000","143,767,000","-2,921,000","29,375,000","-32,402,000","72,657,000","20,115,000","34,859,000","-194,049,000","127,493,000","-5,820,000","26,221,000","-17,392,000","491,247,000","72,244,000","47,648,000","10,530,000","331,405,000","4,832,000","-40,890,000","25,945,000","89,054,000","61,813,000","82,429,000","11,286,000","30,859,000","7,472,000","-27,007,000","19,426,000","-4,490,000","6,459,000","-3,085,000","4,898,000","62,766,000","7,388,000","3,758,000","-14,133,000","56,917,000","-7,271,000","2,601,000","-5,697,000","-11,646,000","7,376,000","13,450,000","7,960,000","56,219,000"
			ChangeInReceivables,"39,312,000","11,996,000","41,475,000","-5,674,000","-8,485,000","-3,578,000","96,161,000","-2,619,000","-24,491,000","9,596,000","27,063,000","7,725,000","-4,590,000","-5,679,000","70,199,000","-38,515,000","625,000","-6,100,000","22,432,000","1,330,000","-2,906,000","3,178,000","29,328,000","3,197,000","-7,794,000","4,564,000","51,420,000","-77,000","1,765,000","-2,880,000","19,021,000","2,343,000","4,065,000","19,780,000","7,562,000","1,246,000","-1,479,000","-3,472,000","30,176,000","3,602,000","5,912,000","3,770,000","29,322,000","-4,334,000","2,587,000","-75,000","-2,772,000","-3,159,000","6,029,000","436,000","-1,651,000"
				ChangesInAccountReceivables,,,,,,,,,,,,,,,"70,199,000","-38,515,000","625,000","-6,100,000","22,432,000","1,330,000","-2,906,000","3,178,000","29,328,000","3,197,000","-7,794,000","4,564,000","51,420,000","-77,000","1,765,000","-2,880,000","19,021,000","2,343,000","4,065,000","19,780,000","7,562,000","1,246,000","-1,479,000","-3,472,000",,,,,,,,,,,,,
			ChangeInPrepaidAssets,"33,682,000","31,125,000","-176,898,000","169,919,000","9,536,000","46,267,000","18,362,000","8,831,000","41,809,000","14,621,000","31,662,000","7,012,000","9,524,000","-113,893,000","28,592,000","27,923,000","2,252,000","42,352,000","77,783,000","215,286,000","13,614,000","10,309,000","29,141,000","385,134,000","33,669,000","20,520,000","37,849,000","8,220,000","4,077,000","29,866,000","11,310,000","17,149,000","143,203,000","-38,786,000","-13,734,000","367,000","11,313,000","463,000","2,942,000","-1,023,000","4,982,000","-2,791,000","7,790,000","-1,951,000","-3,416,000","-387,000","8,477,000","17,400,000","-15,279,000","8,088,000","26,793,000"
			ChangeInPayablesAndAccruedExpense,"25,746,000","-64,844,000","38,934,000","-6,336,000","57,992,000","-47,765,000","31,817,000","-7,947,000","22,411,000","-47,443,000","36,822,000","7,030,000","40,695,000","-57,286,000","34,970,000","6,529,000","29,062,000","-49,885,000","44,788,000","3,919,000","18,583,000","-59,109,000","-27,303,000","5,779,000","-33,543,000","8,745,000","-9,198,000","50,095,000","-3,295,000","-7,735,000","19,158,000","23,795,000","-43,887,000","38,147,000","14,560,000","11,691,000","-10,858,000","4,940,000","30,453,000","5,167,000","-7,315,000","-13,193,000","19,548,000","188,000","4,881,000","-5,115,000","-16,417,000","-5,921,000","22,566,000","-116,000","31,060,000"
				ChangeInPayable,,,,,,,,,,,,,,,"34,970,000","6,529,000","29,062,000","-49,885,000","44,788,000","3,919,000","18,583,000","-59,109,000","-27,303,000","5,779,000","-33,543,000","8,745,000","-9,198,000","50,095,000","-3,295,000","-7,735,000","19,158,000",,"-43,887,000","38,147,000","14,560,000","11,691,000","-10,858,000","4,940,000",,,,,,,,,,,,,
					ChangeInAccountPayable,,,,,,,,,,,,,,,"34,970,000","6,529,000","29,062,000","-49,885,000","44,788,000","3,919,000","18,583,000","-59,109,000","-27,303,000","5,779,000","-33,543,000","8,745,000","-9,198,000","50,095,000","-3,295,000","-7,735,000","19,158,000",,"-43,887,000","38,147,000","14,560,000","11,691,000","-10,858,000","4,940,000",,,,,,,,,,,,,
			ChangeInOtherCurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-647,000","-298,000","-1,432,000","1,276,000","-380,000",,,"-684,000","-500,000",,,"-319,000"
			ChangeInOtherWorkingCapital,"-25,569,000","-3,800,000","-8,788,000","-8,799,000","-4,182,000","-1,134,000","-2,573,000","-1,186,000","-10,354,000","-9,176,000","-22,890,000","-1,652,000","-10,770,000","-17,191,000","-6,268,000","-1,757,000","-5,718,000","-3,759,000","346,244,000","-148,291,000","18,357,000","56,152,000","300,239,000","-389,278,000","-33,222,000","-7,884,000","8,983,000","3,575,000","79,882,000","-7,965,000","-18,630,000","-35,815,000","-130,388,000","285,000","-12,878,000","-6,845,000","-2,061,000","2,967,000","-3,182,000","289,000","477,000","-487,000","-1,019,000","-794,000","-959,000","-120,000","-250,000","-444,000","1,060,000","-448,000","336,000"
