name,ttm,04/30/2022,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013,07/31/2013,04/30/2013,01/31/2013,10/31/2012,07/31/2012,04/30/2012,01/31/2012,10/31/2011,07/31/2011,04/30/2011,01/31/2011,10/31/2010,07/31/2010,04/30/2010,01/31/2010,10/31/2009,07/31/2009,04/30/2009,01/31/2009,10/31/2008,07/31/2008,04/30/2008,01/31/2008,10/31/2007,07/31/2007,04/30/2007,01/31/2007,10/31/2006,07/31/2006,04/30/2006,01/31/2006,10/31/2005,07/31/2005,04/30/2005,01/31/2005,10/31/2004,07/31/2004,04/30/2004,01/31/2004,10/31/2003,07/31/2003,04/30/2003,01/31/2003,10/31/2002,07/31/2002,04/30/2002,01/31/2002,10/31/2001,07/31/2001,04/30/2001,01/31/2001,10/31/2000,07/31/2000,04/30/2000,01/31/2000,10/31/1999,07/31/1999,04/30/1999,01/31/1999,10/31/1998,07/31/1998,04/30/1998,01/31/1998,10/31/1997,07/31/1997,04/30/1997,01/31/1997,10/31/1996,07/31/1996,04/30/1996,01/31/1996,10/31/1995,07/31/1995,04/30/1995,01/31/1995,10/31/1994,07/31/1994,04/30/1994,01/31/1994,10/31/1993,07/31/1993,04/30/1993,01/31/1993,10/31/1992,07/31/1992,04/30/1992,01/31/1992,10/31/1991,07/31/1991,04/30/1991,01/31/1991,10/31/1990,07/31/1990,04/30/1990,01/31/1990,10/31/1989,07/31/1989,04/30/1989,01/31/1989,10/31/1988,07/31/1988
OperatingIncome,"131,470,000","37,880,000","27,780,000","32,068,000","33,742,000","57,143,000","27,476,000","29,344,000","27,258,000","12,678,000","17,691,000","20,040,000","21,880,000","20,313,000","16,286,000","16,107,000","14,937,000","15,185,000","7,389,000","9,914,000","12,108,000","10,205,000","5,590,000","9,038,000","12,682,000","6,614,000","7,399,000","37,000","8,123,000","12,393,000","12,548,000","12,723,000","12,291,000","10,773,000","3,235,000","9,936,000","12,801,000","14,391,000","13,305,000","296,000","1,931,000","4,940,000","991,000","2,412,000","3,492,000","3,938,000","184,000","10,650,000","13,643,000","11,729,000","10,520,000","10,715,000","11,306,000","8,261,000","7,418,000","7,277,000","9,007,000","28,173,000","67,000","6,075,000","4,181,000","3,217,000","934,000","-2,134,000","7,497,574","7,968,690","7,756,357","5,016,072","8,237,876","7,209,484","7,209,813","3,422,000","8,048,717","7,552,173","4,746,343","3,233,388","7,265,061","6,175,974","5,580,097","5,317,189","6,125,357","-11,314,835","4,608,950","4,370,436","8,708,613","-18,840,028","-4,649,221","-3,906,900","-2,925,752","-11,884,472","-2,100,000","-700,000","300,000","-9,100,000","-1,700,000","-2,000,000","-1,400,000","-3,400,000","-100,000","-1,000,000","-1,100,000","-1,400,000","-600,000","-800,000","-500,000","-1,900,000","-600,000","-600,000","-1,100,000","-4,800,000","-5,200,000","100,000","100,000","-4,200,000","800,000","300,000","400,000","-200,000","-100,000","-100,000","0","-300,000","-200,000","-200,000","-200,000","-400,000","0","-200,000","0","0","-500,000","2,600,000","2,600,000","-4,300,000","2,000,000","2,000,000","2,000,000"
NetNonOperatingInterestIncomeExpense,"-10,919,000","-3,480,000","-2,944,000","-2,513,000","-1,982,000","-1,738,000","-1,705,000","-1,658,000","-1,719,000","-1,943,000","-2,024,000","-2,081,000","-2,004,000","-1,988,000","-2,110,000","-1,981,000","-1,804,000","-1,621,000","-1,482,000","-1,324,000","-1,172,000","-1,029,000","-1,060,000","-1,036,000","-944,000","-923,000","-831,000","-792,000","-760,000","-720,000","-788,000","-721,000","-675,000","-706,000","-779,000","-722,000","-790,000","-781,000","-795,000","11,317,000","11,050,000","10,424,000","10,749,000","10,104,000","9,758,000","9,111,000","9,345,000","8,421,000","7,891,000","7,402,000","7,414,000","6,543,000","6,496,000","-20,059,000","4,850,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestIncomeNonOperating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,025,000","11,703,000","11,033,000","11,408,000","10,679,000","10,200,000","9,517,000","9,794,000","9,224,000","8,858,000","8,063,000","8,049,000","7,319,000","6,743,000",,"6,533,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"10,919,000","3,480,000","2,944,000","2,513,000","1,982,000","1,738,000","1,705,000","1,658,000","1,719,000","1,943,000","2,024,000","2,081,000","2,004,000","1,988,000","2,110,000","1,981,000","1,804,000","1,621,000","1,482,000","1,324,000","1,172,000","1,029,000","1,060,000","1,036,000","944,000","923,000","831,000","792,000","760,000","720,000","788,000","721,000","675,000","706,000","779,000","722,000","790,000","781,000","795,000","708,000","653,000","609,000","659,000","575,000","442,000","406,000","449,000","803,000","967,000","661,000","635,000","776,000","247,000","521,000","1,683,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"-149,000","-61,000","-42,000","-44,000","-2,000","-2,000","-22,000","64,000",,"153,000",,"-2,000","-37,000","3,000","100,000","-12,000",,"97,000","-84,000","-57,000","-47,000","-798,000","-7,000","1,000","-400,000","-323,000","-27,000","-19,000",,"3,000",,"-20,000",,"0","-37,000","2,000","-41,000","-58,000",,,,,,,,"452,000","-507,000",,,,,,,,,,,"-154,000","-373,000",,,,,,,,,,,,,,,,,,,,,,,"0",,"-6,259,737","-14,050,181","12,099,163","84,335","1,162,393","2,228,178","12,103,460",,"10,400,000","800,000","2,400,000","22,600,000","4,400,000","4,400,000","6,100,000","200,000","600,000","700,000","0","-5,100,000","300,000","15,500,000","1,400,000","-1,000,000","-100,000","21,100,000","-2,700,000",,,,,,,,,,,,"4,700,000","100,000",,"100,000","200,000",,"100,000",,"0","100,000",,,,,,
	SpecialIncomeCharges,"-149,000","-61,000","-42,000","-44,000","-2,000","-2,000","-22,000","64,000","0","153,000","0","-2,000","-37,000","3,000","100,000","-12,000","0","97,000","-84,000","-57,000","-47,000","-798,000","-7,000","1,000","-400,000","-323,000","-27,000","-19,000",,"3,000","0","-20,000","0","0","-37,000","2,000","-41,000","-58,000",,,,,,,,"452,000","-507,000",,,,,,,,,,,"-154,000","-373,000",,,,,,,,,,,,,,,,,,,,,,,"0",,"-6,259,737","-14,050,181","11,961,234","84,335","1,162,393","2,228,178","12,103,460",,"10,400,000","800,000","2,400,000","22,600,000","4,400,000","4,400,000","6,100,000","200,000","600,000","700,000","0","-5,100,000","300,000","15,500,000","1,400,000","-1,000,000","-100,000","21,100,000","-2,700,000",,,,,,,,,,,,"4,700,000","100,000",,"100,000","200,000",,"100,000",,"0","100,000",,,,,,
		RestructuringAndMergernAcquisition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"373,000",,,,,,,,,,,,,,,,,,,,,,,"0",,"2,732,106",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherSpecialCharges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"507,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"3,527,631",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		GainOnSaleOfPPE,"-149,000","-61,000","-42,000","-44,000","-2,000","-2,000","-22,000","64,000","0","153,000","0","-2,000","-37,000","3,000","100,000","-12,000","0","97,000","-84,000","-57,000","-47,000","-798,000","-7,000","1,000","-400,000","-323,000","-27,000","-19,000",,"3,000","0","-20,000","0","0","-37,000","2,000","-41,000","-58,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PretaxIncome,"120,402,000","34,339,000","24,794,000","29,511,000","31,758,000","55,403,000","25,749,000","27,750,000","25,539,000","10,888,000","15,667,000","17,957,000","19,839,000","18,328,000","14,276,000","14,114,000","13,133,000","13,661,000","5,823,000","8,533,000","10,889,000","8,378,000","4,523,000","8,003,000","11,338,000","5,368,000","6,541,000","-774,000","7,363,000","11,676,000","11,760,000","11,982,000","11,616,000","10,067,000","2,419,000","9,216,000","11,970,000","13,552,000","12,510,000","11,613,000","12,981,000","15,273,000","11,740,000","12,516,000","13,250,000","13,501,000","9,022,000","9,847,000","12,676,000","11,068,000","9,885,000","9,939,000","11,059,000","7,740,000","5,735,000","6,167,000","8,314,000","9,341,000","5,196,000","5,255,000","3,371,000","2,242,000","-93,000","-3,061,000","6,595,718","7,246,187","7,065,470","4,449,180","7,759,908","6,842,149","6,864,472","6,956,000","7,821,316","7,352,935","4,452,319","6,046,303","6,949,395","5,857,140","5,218,891","4,848,247","5,588,565","-2,616,145","3,952,596","-2,736,864","2,024,250","1,081,257","1,646,099","2,977,593","5,015,578","5,941,870","2,800,000","12,400,000","3,800,000","5,100,000","19,200,000","800,000","1,500,000","1,100,000",,"-400,000","-500,000","-1,300,000","-5,800,000","-700,000","14,800,000","-400,000","-1,800,000",,"18,800,000","-9,700,000","-7,100,000",,,,,,,"-100,000","-300,000",,,,,,,,,,"-200,000","-500,000","-600,000",,,,,,
TaxProvision,"27,095,000","7,662,000","6,024,000","6,618,000","6,791,000","11,906,000","5,867,000","6,554,000","5,975,000","1,629,000","2,981,000","4,070,000","4,328,000","3,762,000","3,381,000","2,833,000","2,249,000","3,492,000","-7,556,000","2,564,000","3,897,000","3,136,000","1,687,000","2,985,000","4,229,000","2,005,000","2,439,000","-289,000","2,747,000","4,426,000","4,299,000","4,463,000","4,356,000","3,754,000","949,000","3,411,000","4,429,000","4,763,000","4,530,000","4,335,000","4,863,000","5,632,000","4,436,000","4,756,000","4,968,000","5,128,000","3,334,000","3,658,000","4,711,000","3,848,000","3,606,000","3,627,000","4,031,000","2,622,000","2,100,000","2,296,000","3,033,000","3,293,000","1,818,000","1,789,000","1,230,000","187,000","-43,000","-1,133,000","2,440,808","2,693,104","2,600,634","1,649,973","2,872,466","2,523,141","2,530,812","2,565,000","2,888,602","2,717,664","1,642,681","2,231,173","2,569,988","2,109,223","1,935,349","1,747,846","2,151,682","419,678","1,593,078","-709,071","830,352","431,906","649,750","1,427,607","2,248,436","2,805,451","1,300,000","4,800,000","1,200,000","1,700,000","6,600,000","300,000","500,000","500,000","-100,000","-300,000","-200,000","-600,000","-2,300,000","-200,000","1,200,000","-4,200,000","-300,000",,"8,100,000","500,000","-1,600,000",,,,,,,"-100,000","-100,000",,,,,,,,,,"-100,000","0","-100,000",,,,,,
NetIncomeCommonStockholders,"93,267,000","26,667,000","18,760,000","22,883,000","24,957,000","43,487,000","19,872,000","21,186,000","19,554,000","9,249,000","12,676,000","13,877,000","15,501,000","14,556,000","10,885,000","11,271,000","10,874,000","10,159,000","13,369,000","5,959,000","6,982,000","5,232,000","2,826,000","5,008,000","7,099,000","3,353,000","4,092,000","-495,000","4,606,000","7,240,000","7,451,000","7,509,000","7,250,000","6,303,000","1,460,000","5,795,000","7,531,000","8,779,000","7,970,000","7,268,000","8,108,000","9,631,000","7,294,000","7,750,000","8,272,000","8,363,000","5,678,000","6,179,000","7,955,000","7,210,000","6,269,000","6,302,000","7,018,000","5,118,000","3,635,000","3,871,000","5,281,000","6,048,000","3,378,000","3,466,000","2,141,000","2,055,000","-50,000","-1,928,000","4,154,910","4,553,083","4,464,836","2,799,207","4,887,442","4,319,008","4,333,660","4,391,000","4,932,714","4,635,271","2,809,638","3,815,130","4,544,407","3,747,917","3,283,542","3,356,243","3,687,227","-3,060,127","2,528,512","-14,967,297","1,193,898","649,351","996,349","1,549,986","2,767,142","3,136,419","1,500,000","7,600,000","2,600,000","3,400,000","12,600,000","500,000","1,000,000","600,000",,"-100,000","-300,000","-700,000","-3,500,000","-500,000","13,600,000","3,800,000","-1,500,000","-700,000","10,700,000","-10,200,000","-5,500,000","-3,000,000","-1,500,000","-1,200,000","-600,000","-300,000","-100,000","0","-200,000","-100,000","-100,000","3,200,000","-300,000","-300,000","-200,000","-600,000","-200,000","-300,000","-100,000","-500,000","-500,000",,,,,,
