name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013
		OtherNonCashItems,,,,,,,,,,,,,,,,,,,,"9,669,000",,,,,,,"0","0","787,000","424,000","0","0","0","127,000","29,000",,,
		ChangeInWorkingCapital,"4,323,000","-6,917,000","5,755,000","25,514,000","-20,029,000","-29,746,000","14,933,000","-5,791,000","-7,399,000","-41,472,000","22,142,000","9,110,000","3,404,000","-27,998,000","27,648,000","19,803,000","-9,554,000","-18,685,000","435,000","17,871,000","1,673,000","-4,803,000","11,844,000","2,489,000","3,792,000","-647,000","6,327,000","84,000","367,000","470,000","2,352,000","1,278,000","573,000","-124,000","573,000","-683,000","365,000","338,000"
			ChangeInReceivables,"4,969,000","-1,291,000","5,679,000","24,253,000","-23,672,000","-24,766,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			ChangeInPrepaidAssets,"-14,123,000","2,635,000","-5,498,000","-5,497,000","-5,763,000","-262,000","7,526,000","-1,485,000","-3,383,000","1,221,000","3,713,000","-3,392,000","-6,739,000","1,637,000","-3,191,000","12,820,000","-19,743,000","-5,348,000","-1,335,000","301,000","1,287,000","-1,380,000","-1,682,000","-1,606,000","1,115,000","-1,189,000","867,000","671,000","-2,085,000","-134,000","7,000","-287,000","-383,000","-52,000","-6,000","-278,000","16,000","-49,000"
			ChangeInPayablesAndAccruedExpense,"15,235,000","-7,758,000","6,090,000","7,165,000","9,738,000","-4,546,000","7,427,000","-4,198,000","-4,199,000","-42,698,000","18,484,000","12,373,000","12,863,000","-28,699,000","30,839,000","6,983,000","10,189,000","-13,337,000","1,770,000","17,570,000","386,000","-3,423,000","13,526,000","4,095,000","2,677,000","542,000","5,625,000","-587,000","2,452,000","604,000","2,366,000","1,565,000","956,000","-72,000","579,000","-405,000","349,000","387,000"
				ChangeInPayable,"3,844,000","-3,251,000","5,647,000","1,816,000","-368,000","-406,000","-598,000","1,902,000","-5,508,000","-7,307,000","10,172,000","-7,149,000","-1,299,000","-20,507,000","27,914,000","-2,467,000","-26,000","-877,000","-3,914,000","6,989,000","-2,125,000","-4,643,000","7,680,000","-825,000","1,740,000","-799,000","1,882,000","-1,952,000","2,417,000","343,000","447,000","379,000","86,000","-471,000","714,000","-565,000","246,000","279,000"
					ChangeInAccountPayable,"3,844,000","-3,251,000","5,647,000","1,816,000","-368,000","-406,000","-598,000","1,902,000","-5,508,000","-7,307,000","10,172,000","-7,149,000","-1,299,000","-20,507,000","27,914,000","-2,467,000","-26,000","-877,000","-3,914,000","6,989,000","-2,125,000","-4,643,000","7,680,000","-825,000","1,740,000","-799,000","1,882,000","-1,952,000","2,417,000","343,000","447,000","379,000","86,000","-471,000","714,000","-565,000","246,000","279,000"
				ChangeInAccruedExpense,"11,391,000","-4,507,000","443,000","5,349,000","10,106,000","-4,140,000","8,025,000","-6,100,000","1,309,000","-35,391,000","8,312,000","19,522,000","14,162,000","-8,192,000","2,925,000","9,450,000","10,215,000","-12,460,000","5,684,000","10,581,000","2,511,000","1,220,000","5,846,000","4,920,000","937,000","1,341,000","3,743,000","1,365,000","35,000","261,000","1,919,000","1,186,000","870,000","399,000","-135,000","160,000","103,000","108,000"
			ChangeInOtherCurrentAssets,"4,039,000","1,010,000","947,000","1,020,000","1,062,000","1,282,000","1,569,000","1,441,000","1,962,000","1,877,000","1,769,000","1,916,000","-874,000","1,564,000",,,,,,,,,,,,,,,,,,,,,,,,
			ChangeInOtherCurrentLiabilities,"-5,797,000","-1,513,000","-1,463,000","-1,427,000","-1,394,000","-1,454,000","-1,589,000","-1,549,000","-1,779,000","-1,872,000","-1,824,000","-1,787,000","-1,846,000","-2,500,000",,,,,,,,,,,,,,,,,,,,,,,,
			ChangeInOtherWorkingCapital,,,,,,,"-62,000","-151,000","257,000","-20,000","-8,992,000","6,262,000","-2,720,000","-936,000",,,,,,,,,,,,,,,,,,,,,,,,
InvestingCashFlow,"-353,190,000","-9,558,000","-30,261,000","-24,983,000","-288,388,000","-658,816,000","45,519,000","13,513,000","177,382,000","206,270,000","-17,916,000","207,779,000","-58,109,000","-274,910,000","38,418,000","52,000","-238,130,000","-312,801,000","-104,602,000","43,871,000","44,308,000","31,600,000","-118,463,000","-27,720,000","-84,016,000","-341,000","-38,000","21,000","-71,000","-110,000","-45,000","-78,000","-2,000","-3,000","0","0","0","-3,000"
	CashFlowFromContinuingInvestingActivities,"-353,190,000","-9,558,000","-30,261,000","-24,983,000","-288,388,000","-658,816,000","45,519,000","13,513,000","177,382,000","206,270,000","-17,916,000","207,779,000","-58,109,000","-274,910,000","38,418,000","52,000","-238,130,000","-312,801,000","-104,602,000","43,871,000","44,308,000","31,600,000","-118,463,000","-27,720,000","-84,016,000","-341,000","-38,000","21,000","-71,000","-110,000","-45,000","-78,000","-2,000","-3,000","0","0","0","-3,000"
		NetPPEPurchaseAndSale,"-541,000","-169,000","-372,000","0","0","0","0","1,000","-70,000","-276,000","-373,000","-1,940,000","-2,181,000","-1,257,000","-808,000","-998,000","-402,000","-652,000","-804,000","-235,000","-76,000","-245,000","-520,000","-66,000","-494,000","-341,000","-38,000","21,000","-71,000","-110,000","-45,000","-78,000","-2,000","-3,000","0","0","0","-3,000"
			PurchaseOfPPE,"-541,000","-169,000","-372,000","0","0","0","0","1,000","-70,000","-276,000","-373,000","-1,940,000","-2,181,000","-1,257,000","-808,000","-998,000","-402,000","-652,000","-804,000","-235,000","-76,000","-245,000","-520,000","-66,000","-494,000","-341,000","-38,000","21,000","-71,000","-110,000","-45,000","-78,000","-2,000","-3,000","0","0","0","-3,000"
