name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008
	TotalNonCurrentAssets,"20,877,180","11,916,524","13,859,625","13,891,532","12,351,789","342,049,608","20,739,685","20,251,707","19,951,980","19,154,158","9,093,273","8,189,019","5,334,538","5,435,541","5,653,013","5,664,845","5,779,353","5,808,017","5,900,385","6,028,667","6,108,452","6,323,125","3,598,138","3,636,998","3,671,789","3,736,359","3,793,114","3,890,087","3,974,777","4,042,359","4,112,685","4,204,273","4,305,767","4,407,261","4,508,755","4,610,183","4,711,676","126,847","148,020","178,045","165,974","182,177","171,135","134,597","64,429","76,171","84,718","51,686","37,182","66,006","0","0","0","0","0"
		NetPPE,"20,750,870","9,436,659","13,859,625","13,891,532","12,351,789","11,398,166","7,545,291","7,082,138","6,768,619","6,830,181","8,923,635","8,009,037","5,140,764","5,237,451","5,442,000","5,443,488","5,547,653","5,596,013","5,673,044","5,804,179","5,895,372","6,002,631","3,598,138","3,636,998","3,671,789","3,736,359","3,793,114","3,890,087","3,974,777","4,042,359","4,112,685","4,204,273","4,305,767","4,407,261","4,508,755","4,610,183","4,711,676","126,847","148,020","178,045","165,974","182,177","171,135","134,597","64,429","76,171","84,718","51,686","37,182","66,006",,,,,
			GrossPPE,"20,750,870","14,795,731",,,,"14,857,115",,,,"9,479,485","11,512,282","10,610,300",,"7,644,928","7,753,024","7,691,595","7,691,595","7,691,584","7,633,805","7,618,805","7,584,112","7,548,229","5,218,513","5,161,083","5,099,317","5,070,418","5,037,721","5,040,722","5,031,440","5,005,192","4,982,088","4,982,088","4,982,088","4,982,088","4,982,088","4,982,025","4,982,025","382,025","390,029","414,816","386,063","386,063","361,651","310,474","224,126","224,126","220,931","177,754","153,635","180,117",,,,,
				Properties,"0","0",,,,"0",,,,"0",,,,"0",,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,,,,,
				LandAndImprovements,,"861,175",,,,"794,875",,,,"700,000",,,,"700,000",,,"700,000","700,000","700,000","700,000","700,000","700,000","300,000","300,000","300,000","300,000","300,000","300,000","300,000","300,000","300,000","300,000","300,000","300,000","300,000","300,000","300,000",,,,,,,,,,,,,,,,,,
				BuildingsAndImprovements,"10,012,515","6,396,800",,,,"6,005,505",,,,"5,900,000",,,,"5,900,000",,,"5,900,000","5,900,000","5,900,000","5,900,000","5,900,000","5,900,000","3,800,000","3,800,000","3,800,000","3,800,000","3,800,000","3,800,000","3,800,000","3,800,000","3,800,000","3,800,000","3,800,000","3,800,000","3,800,000","3,800,000","3,800,000",,,,,,,,,,,,,,,,,,
				MachineryFurnitureEquipment,,,,,,,,,,"93,881",,,,"189,046",,,"1,072,359","986,309","928,530","913,530","907,300","871,417","1,036,376","1,014,137","952,371","951,193","872,749","875,750","894,905","862,863","862,863","835,142","835,142","835,142","835,142","835,079","835,079","362,800","370,804","395,591","366,838","366,838","361,651","133,501","218,801","218,801","215,606","172,429","148,310","174,792",,,,,
				OtherProperties,"10,738,355","6,610,219",,,,"3,927,167",,,,"860,104",,,,"836,646",,,,"86,050","86,050","86,050","57,587","57,587","62,912","27,721","27,721",,"27,721","27,721",,,,"27,721","27,721","27,721","27,721","27,721","27,721",,,,,,,"176,973","5,325","5,325","5,325","5,325","5,325","5,325",,,,,
				ConstructionInProgress,,"927,537",,,,"4,129,568",,,,"1,925,500",,,,,,,,,,,,,,,,,"18,026","18,026","17,310","23,104",,,,,,,,,,,,,,,,,,,,,,,,,
				Leases,,,,,,,,,,"0",,,,"19,236",,,"19,236","19,225","19,225","19,225","19,225","19,225","19,225","19,225","19,225","19,225","19,225","19,225","19,225","19,225","19,225","19,225","19,225","19,225","19,225","19,225","19,225","19,225","19,225","19,225","19,225","19,225",,,,,,,,,,,,,
