name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,09/30/2006,03/31/2006,09/30/2005
			NetLongTermDebtIssuance,"-332,791,000","-6,509,000","-309,627,000","-9,147,000","-7,508,000","-299,170,000","-4,776,000","-40,229,000","706,568,000","28,950,000","-268,345,000","-4,928,000","-160,065,000","-3,469,000","-17,585,000","-2,290,000","-13,098,000","-9,128,000","284,282,000","-123,411,000","-114,939,000","-44,467,000","-114,248,000","128,964,000","1,212,894,000","-7,197,000","-14,367,000","-1,097,000","836,927,000","-18,283,000","-1,771,000","367,912,000","2,302,000","2,478,000","-224,647,000","-25,118,000","644,000","3,639,000","-568,211,000","-15,500,000","-183,577,000","184,577,000","-209,361,000","7,500,000","-101,257,000","105,000,000","-189,249,000","18,797,000","74,134,000","34,818,000","-878,166,000","-177,207,000","-48,365,000","69,583,000",,,,,,,,,,"-42,367,000","-16,741,000"
				LongTermDebtIssuance,"1,149,635,000","21,454,000","1,039,890,000","66,759,000","21,532,000","21,106,000","68,124,000","49,889,000","754,357,000","93,534,000","90,405,000","108,659,000","79,818,000","89,915,000","60,438,000","63,808,000","69,981,000","83,920,000","1,315,685,000","71,420,000","113,491,000","27,893,000","50,338,000","548,589,000","2,603,640,000","371,673,000","661,216,000","639,411,000","983,902,000","43,828,000","48,904,000","519,142,000","33,243,000","33,494,000","32,842,000","5,379,000","28,744,000","34,210,000","-2,098,964,000","682,500,000","633,698,000","860,802,000","441,500,000","608,500,000","817,000,000","1,023,000,000","646,866,000","564,518,000","618,906,000","605,500,000","1,187,336,000","452,607,000","427,034,000","650,500,000",,,,,,,,,,"1,748,000","1,047,000"
				LongTermDebtPayments,"-1,482,426,000","-27,963,000","-1,349,517,000","-75,906,000","-29,040,000","-320,276,000","-72,900,000","-90,118,000","-47,789,000","-64,584,000","-358,750,000","-113,587,000","-239,883,000","-93,384,000","-78,023,000","-66,098,000","-83,079,000","-93,048,000","-1,031,403,000","-194,831,000","-228,430,000","-72,360,000","-164,586,000","-419,625,000","-1,390,746,000","-378,870,000","-675,583,000","-640,508,000","-146,975,000","-62,111,000","-50,675,000","-151,230,000","-30,941,000","-31,016,000","-257,489,000","-30,497,000","-28,100,000","-30,571,000","1,530,753,000","-698,000,000","-817,275,000","-676,225,000","-650,861,000","-601,000,000","-918,257,000","-918,000,000","-836,115,000","-545,721,000","-544,772,000","-570,682,000","-2,065,502,000","-629,814,000","-475,399,000","-580,917,000",,,,,,,,,,"-44,115,000","-17,788,000"
			NetShortTermDebtIssuance,"155,500,000","155,500,000","0","0","0","0","0","-118,189,000","-1,102,152,000","1,102,152,000","-208,603,000","-163,022,000","78,310,000","130,392,000","-373,871,000","-105,907,000","27,305,000","528,732,000","-336,786,000","-132,614,000","155,122,000","403,765,000","-199,553,000","102,582,000","-794,066,000","743,837,000","-152,601,000","179,130,000","-550,475,000","395,146,000","-281,537,000","-79,000,000","-36,879,000","136,089,000","482,176,000","-128,365,000","-49,768,000","103,411,000","72,297,000","3,292,000","66,225,000","-81,911,000","28,897,000","5,163,000","2,847,000","-24,938,000","-16,069,000","9,969,000","-30,185,000","-4,061,000","679,147,000","-1,702,000","-6,803,000","9,007,000",,,,,,,,,,"0","0"
				ShortTermDebtIssuance,"419,000,000","419,000,000","0","0","0","0","0","0","0","1,865,061,000","653,312,000","1,065,070,000","846,870,000","879,442,000","725,940,000","893,419,000","793,028,000","1,347,309,000","1,235,325,000","890,599,000","930,976,000","1,478,539,000","847,016,000","899,642,000","765,588,000","1,524,761,000","1,238,850,000","1,336,702,000","1,521,800,000","1,406,539,000","942,558,000","856,500,000","731,937,000","1,166,172,000","1,469,484,000","678,373,000","1,046,976,000","1,004,382,000","3,072,549,000","11,383,000","11,197,000","20,671,000","55,636,000","40,245,000","42,863,000","222,149,000","403,721,000","359,316,000","334,611,000","297,134,000","1,209,463,000","350,421,000","269,446,000","549,434,000",,,,,,,,,,,
				ShortTermDebtPayments,"-263,500,000","-263,500,000","0","0","0","0","0","-118,189,000","-1,102,152,000","-762,909,000","-861,915,000","-1,228,092,000","-768,560,000","-749,050,000","-1,099,811,000","-999,326,000","-765,723,000","-818,577,000","-1,572,111,000","-1,023,213,000","-775,854,000","-1,074,774,000","-1,046,569,000","-797,060,000","-1,559,654,000","-780,924,000","-1,391,451,000","-1,157,572,000","-2,072,275,000","-1,011,393,000","-1,224,095,000","-935,500,000","-768,816,000","-1,030,083,000","-987,308,000","-806,738,000","-1,096,744,000","-900,971,000","-3,000,252,000","-8,091,000","55,028,000","-102,582,000","-26,739,000","-35,082,000","-40,016,000","-247,087,000","-419,790,000","-349,347,000","-364,796,000","-301,195,000","-530,316,000","-352,123,000","-276,249,000","-540,427,000",,,,,,,,,,,
		NetCommonStockIssuance,"-25,018,000","-25,018,000","0","0","0","0","0","0","0","-200,269,000",,,,,"0",,,"0","-100,098,000","0","0","-299,919,000","0","0","0","-379,901,000","-45,401,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,"-9,000","-17,597,000","-2,540,000","-7,938,000","725,000","-25,927,000","-15,420,000","2,338,000",,,
			CommonStockIssuance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-9,000","1,818,000","43,000","339,000","725,000","2,661,000","465,000","2,338,000",,"0",
			CommonStockPayments,"-25,018,000","-25,018,000","0","0","0","0","0","0","0","-200,269,000",,,,,"0",,,"0","-100,098,000","0","0","-299,919,000","0","0","0","-379,901,000","-45,401,000",,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","-19,415,000","-2,583,000","-8,277,000","0","-28,588,000",,,,,
		CashDividendsPaid,"-209,430,000","-52,297,000","-52,385,000","-52,380,000","-52,368,000","-52,351,000","-52,253,000","-52,236,000","-52,213,000","-53,683,000","-54,269,000","-54,240,000","-54,228,000","-54,221,000","-54,116,000","-54,085,000","-54,062,000","-54,053,000","-54,692,000","-54,682,000","-54,654,000","-55,875,000","-41,577,000","-41,564,000","-41,551,000","-42,683,000","-39,603,000","-40,243,000","-41,387,000","-40,083,000","-29,969,000","-29,907,000","-29,881,000","-29,850,000","-19,827,000","-19,818,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
