name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018
NetNonOperatingInterestIncomeExpense,"-10,192,000","-2,234,000","-2,450,000","-2,651,000","-2,857,000","-3,035,000","-3,455,000","-3,602,000","-4,113,000","-5,682,000","-5,995,000","-14,534,000","-19,186,000","-20,603,000","-21,060,000","-17,495,000","-10,687,000"
	InterestExpenseNonOperating,"10,192,000","2,234,000","2,450,000","2,651,000","2,857,000","3,035,000","3,455,000","3,602,000","4,113,000","5,682,000","5,995,000","14,534,000","19,186,000","20,603,000","21,060,000","17,495,000","10,687,000"
	TotalOtherFinanceCost,,,,,,,,,,,"5,995,000","14,534,000","19,186,000","20,603,000","21,060,000","17,495,000","10,687,000"
OtherIncomeExpense,"519,000","1,889,000","-1,357,000","-1,298,000","1,285,000","-2,599,000","2,528,000","153,000","40,000","-1,503,000","-132,000","-633,000","-21,000","-941,000","-122,000","-512,000","2,453,000"
	SpecialIncomeCharges,"-25,000","0","0","1,000","-26,000","-17,000","2,000","-46,000","21,000","1,000","-199,000","-779,000","-115,000","-1,304,000","24,000","-73,000","-410,000"
		RestructuringAndMergernAcquisition,"25,000","0","0","-1,000","26,000","17,000","-2,000","46,000","-21,000","-1,000","199,000","779,000","115,000","1,304,000","-24,000","73,000","410,000"
	OtherNonOperatingIncomeExpenses,"544,000","1,889,000","-1,357,000","-1,299,000","1,311,000","-2,582,000","2,526,000","199,000","19,000","-1,504,000","67,000","146,000","94,000","363,000","-146,000","-439,000","2,863,000"
PretaxIncome,"71,659,000","17,284,000","17,408,000","17,301,000","19,666,000","15,235,000","23,178,000","19,428,000","20,012,000","849,000","1,627,000","-168,911,000","-52,098,000","-43,884,000","-24,784,000","-44,204,000","-27,039,000"
TaxProvision,"19,208,000","16,355,000","2,821,000","-6,340,000","6,372,000","-11,719,000","4,762,000","1,949,000","7,147,000","-45,853,000","-136,000","248,423,000","-2,943,000","-13,286,000","-2,682,000","-4,266,000","-3,483,000"
NetIncomeCommonStockholders,"52,451,000","929,000","14,587,000","23,641,000","13,294,000","26,954,000","18,416,000","17,479,000","12,865,000","46,702,000","1,763,000","-417,334,000","-49,155,000","-30,598,000","-22,102,000","-39,938,000","-23,556,000"
	NetIncome,"52,451,000","929,000","14,587,000","23,641,000","13,294,000","26,954,000","18,416,000","17,479,000","12,865,000","46,702,000","1,763,000","-417,334,000","-49,155,000","-30,598,000","-22,102,000","-39,938,000","-23,556,000"
		NetIncomeIncludingNoncontrollingInterests,"52,451,000","929,000","14,587,000","23,641,000","13,294,000","26,954,000","18,416,000","17,479,000","12,865,000","46,702,000","1,763,000","-417,334,000","-49,155,000","-30,598,000","-22,102,000","-39,938,000","-23,556,000"
			NetIncomeContinuousOperations,"52,451,000","929,000","14,587,000","23,641,000","13,294,000","26,954,000","18,416,000","17,479,000","12,865,000","46,702,000","1,763,000","-417,334,000","-49,155,000","-30,598,000","-22,102,000","-39,938,000","-23,556,000"
DilutedNIAvailtoComStockholders,"52,451,000","929,000","14,587,000","23,641,000","13,294,000","26,954,000","18,416,000","17,479,000","12,865,000","46,702,000","1,763,000","-417,334,000","-49,155,000","-30,598,000","-22,102,000","-39,938,000","-23,556,000"
BasicEPS,,"0.003","0.05","0.08","0.05","0.1","0.07","0.06","0.05","0.17","0.01","-1.58","-0.175",,"-0.08","-0.145","-0.085"
DilutedEPS,,"0.003","0.05","0.08","0.05","0.09","0.06","0.06","0.05","0.16","0.01","-1.58","-0.175",,"-0.08","-0.145","-0.085"
BasicAverageShares,,"285,349,000","284,722,000","283,923,000","282,661,000","281,726,000","281,010,000","280,077,000","279,069,000","278,665,000","277,926,000","264,127,000","281,463,124",,"275,537,939","275,537,939","275,537,939"
DilutedAverageShares,,"290,339,000","291,845,000","291,177,000","288,988,000","288,067,000","286,427,000","286,252,000","284,309,000","283,302,000","280,156,000","264,127,000","281,463,124",,"275,537,939","275,537,939","275,537,939"
TotalOperatingIncomeAsReported,"81,307,000","17,629,000","21,215,000","21,251,000","21,212,000","20,852,000","24,107,000","22,831,000","24,106,000","8,035,000","7,555,000","-154,523,000","-33,006,000","-23,644,000","-3,578,000","-26,270,000","-19,215,000"
TotalExpenses,"848,113,000","234,956,000","219,551,000","205,104,000","188,502,000","175,635,000","158,806,000","145,709,000","131,423,000","142,543,000","135,544,000","283,122,000","155,441,000","138,508,000","118,292,000","128,084,000","117,026,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"52,451,000","929,000","14,587,000","23,641,000","13,294,000","26,954,000","18,416,000","17,479,000","12,865,000","46,702,000","1,763,000","-417,334,000","-49,155,000","-30,598,000","-22,102,000","-39,938,000","-23,556,000"
NormalizedIncome,"52,469,298.818","929,000","14,587,000","23,640,366","13,311,680","26,966,410","18,414,420","17,520,400","12,851,560","46,701,270","1,908,270","-416,765,330","-49,046,900","-29,688,789.536","-22,123,360","-39,872,300","-23,199,300"
InterestExpense,"10,192,000","2,234,000","2,450,000","2,651,000","2,857,000","3,035,000","3,455,000","3,602,000","4,113,000","5,682,000","5,995,000","14,534,000","19,186,000","20,603,000","21,060,000","17,495,000","10,687,000"
NetInterestIncome,"-10,192,000","-2,234,000","-2,450,000","-2,651,000","-2,857,000","-3,035,000","-3,455,000","-3,602,000","-4,113,000","-5,682,000","-5,995,000","-14,534,000","-19,186,000","-20,603,000","-21,060,000","-17,495,000","-10,687,000"
EBIT,"81,851,000","19,518,000","19,858,000","19,952,000","22,523,000","18,270,000","26,633,000","23,030,000","24,125,000","6,531,000","7,622,000","-154,377,000","-32,912,000","-23,281,000","-3,724,000","-26,709,000","-16,352,000"
EBITDA,"138,727,000"
ReconciledCostOfRevenue,"146,157,000","41,049,000","37,635,000","35,087,000","32,386,000","28,693,000","25,999,000","24,177,000","22,619,000","24,929,000","22,450,000","32,941,000","22,570,000","21,911,000","17,707,000","18,304,000","16,454,000"
ReconciledDepreciation,"56,876,000","14,406,000","14,364,000","14,119,000","13,987,000","15,329,000","15,806,000","15,220,000","14,609,000","16,246,000","16,294,000","16,666,000","17,115,000","19,834,000","19,995,000","19,996,000","20,286,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"52,451,000","929,000","14,587,000","23,641,000","13,294,000","26,954,000","18,416,000","17,479,000","12,865,000","46,702,000","1,763,000","-417,334,000","-49,155,000","-30,598,000","-22,102,000","-39,938,000","-23,556,000"
TotalUnusualItemsExcludingGoodwill,"-25,000","0","0","1,000","-26,000","-17,000","2,000","-46,000","21,000","1,000","-199,000","-779,000","-115,000","-1,304,000","24,000","-73,000","-410,000"
TotalUnusualItems,"-25,000","0","0","1,000","-26,000","-17,000","2,000","-46,000","21,000","1,000","-199,000","-779,000","-115,000","-1,304,000","24,000","-73,000","-410,000"
NormalizedEBITDA,"138,752,000","33,924,000","34,222,000","34,070,000","36,536,000","33,616,000","42,437,000","38,296,000","38,713,000","22,776,000","24,115,000","-136,932,000","-15,682,000","-2,143,000","16,247,000","-6,640,000","4,344,000"
TaxRateForCalcs,"0.268","0.4","0.16","0.366","0.32","0.27","0.21","0.1","0.36","0.27","0.27","0.27","0.06","0.303","0.11","0.1","0.13"
TaxEffectOfUnusualItems,"-6,701.182","0","0","366","-8,320","-4,590","420","-4,600","7,560","270","-53,730","-210,330","-6,900","-394,789.536","2,640","-7,300","-53,300"
