name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,08/31/2020,06/30/2020,05/31/2020,03/31/2020,12/31/2019,08/31/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,12/31/2003
		OtherCurrentAssets,,,,,,,,,,,,,"109,490,000","117,712,000","98,098,000","112,744,000","118,833,000","123,818,000","112,265,000","120,223,000","126,340,000","116,158,000","105,078,000","118,377,000","115,234,000","109,025,000","90,651,000","99,159,000","96,030,000","90,302,000","72,555,000","72,055,000","60,111,000","51,713,000","50,185,000","44,695,000","54,068,000","48,049,000","33,284,000","37,917,000","35,653,000",,,,"33,389,000",,,,"25,192,000","21,004,000","22,180,000",,,"20,424,000","32,468,000","20,377,000","19,781,000","27,023,000","20,574,000","20,683,000","24,490,000","17,099,000","17,162,000","18,880,000","23,060,000","23,946,000","26,390,000","35,643,000","30,685,000","37,636,000","29,462,000","32,817,000","28,043,000","22,929,000","30,544,000"
	TotalNonCurrentAssets,"812,785,000","811,276,000","738,360,000","740,943,000","737,030,000","697,784,000","664,427,000","664,427,000","654,579,000","654,579,000","595,502,000","594,475,000","554,933,000","533,720,000","557,732,000","340,434,000","306,465,000","271,651,000","261,877,000","256,973,000","223,649,000","220,894,000","213,826,000","220,422,000","204,017,000","201,829,000","194,273,000","197,208,000","198,764,000","193,400,000","190,940,000","190,919,000","177,559,000","174,691,000","170,432,000","173,715,000","166,114,000","166,263,000","167,998,000","171,930,000","168,825,000","170,117,000","173,389,000","153,700,000","149,469,000","146,758,000","148,390,000","155,799,000","162,266,000","164,126,000","167,516,000","175,093,000","180,068,000","190,063,000","196,276,000","209,543,000","215,723,000","222,143,000","234,903,000","246,282,000","237,019,000","240,442,000","237,047,000","213,898,000","221,811,000","230,986,000","232,825,000","239,728,000","245,630,000","254,183,000","252,380,000","257,856,000","258,444,000","266,832,000","265,573,000"
		NetPPE,"528,746,000","534,767,000","511,547,000","516,377,000","517,728,000","525,632,000","491,917,000","491,917,000","484,498,000","484,498,000","469,657,000","471,666,000","443,705,000","425,339,000","449,872,000","234,939,000","206,999,000","177,191,000","169,525,000","169,586,000","139,677,000","137,793,000","137,824,000","138,534,000","132,601,000","131,972,000","131,060,000","131,890,000","119,452,000","117,196,000","114,744,000","114,046,000","100,491,000","98,056,000","95,717,000","97,584,000","89,330,000","88,551,000","89,776,000","91,445,000","86,538,000","87,782,000","89,657,000","92,400,000","89,587,000","92,322,000","93,965,000","97,384,000","97,009,000","98,439,000","99,921,000","102,776,000","102,614,000","104,825,000","105,601,000","108,430,000","112,240,000","113,465,000","118,013,000","122,890,000","108,834,000","111,799,000","114,045,000","117,144,000","120,862,000","126,382,000","128,591,000","131,455,000","135,225,000","137,190,000","135,364,000","136,883,000","135,784,000","131,636,000","127,067,000"
			GrossPPE,"858,036,000","853,233,000","822,882,000","818,881,000","809,802,000","808,257,000","765,911,000","765,911,000","751,988,000","751,988,000","728,788,000","724,114,000","698,374,000","674,523,000","710,124,000","487,121,000","454,164,000","425,553,000","412,774,000","406,865,000","375,763,000","368,598,000","363,174,000","359,498,000","349,514,000","345,735,000","340,130,000","336,173,000","325,825,000","320,684,000","314,545,000","310,220,000","307,902,000","302,575,000","296,565,000","297,498,000","288,468,000","284,575,000","284,093,000","283,158,000","280,120,000","282,830,000","280,874,000","281,010,000","277,234,000","282,539,000","282,015,000","285,815,000","280,005,000","277,533,000","276,167,000","279,716,000","276,569,000","277,035,000","276,514,000","274,776,000","277,868,000","275,686,000","281,225,000","287,836,000","275,000,000","273,771,000","271,681,000","269,608,000","269,154,000","274,358,000","273,620,000","271,641,000","274,151,000","272,375,000","267,443,000","263,739,000","267,110,000","259,176,000","247,701,000"
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
				LandAndImprovements,"108,426,000","108,372,000","95,111,000","93,801,000","88,468,000","88,063,000","65,581,000","65,581,000","63,644,000","63,644,000","44,732,000","44,845,000","41,408,000","41,385,000","41,519,000","41,147,000","40,423,000","31,951,000","31,907,000","29,171,000","29,189,000","29,159,000","29,129,000","29,129,000","29,105,000","29,063,000","29,067,000","29,064,000","29,345,000","28,772,000","28,759,000","25,859,000","25,995,000","23,659,000","23,646,000","23,423,000","23,723,000","23,715,000","23,715,000","24,460,000","24,441,000","24,330,000","24,275,000","23,714,000","22,923,000","22,759,000","23,223,000","23,211,000","22,886,000","22,134,000","21,974,000","21,825,000","21,824,000","22,063,000","22,063,000","22,063,000","22,063,000","22,063,000","22,063,000","21,899,000","21,899,000","21,872,000","21,839,000","21,831,000","19,814,000","21,943,000","21,993,000","22,107,000","23,828,000","23,737,000","23,992,000","23,241,000","22,156,000","22,033,000",
				BuildingsAndImprovements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"83,950,000","83,490,000","85,362,000","86,909,000","85,496,000","84,702,000","84,182,000","83,503,000","82,756,000","83,925,000","83,826,000","82,802,000","81,583,000","80,857,000","74,429,000","74,922,000","70,935,000","65,202,000",
				MachineryFurnitureEquipment,,,,,,,"274,337,000","274,337,000","261,655,000","261,655,000","249,467,000","243,708,000","241,972,000","237,088,000","246,909,000","243,654,000","222,582,000","225,672,000","222,439,000","216,599,000","214,142,000","209,267,000","204,837,000","201,827,000","197,107,000","195,359,000","192,473,000","186,405,000","187,305,000","184,189,000","181,573,000","178,378,000","182,540,000","178,318,000","175,275,000","174,667,000","174,484,000","172,355,000","172,083,000","168,452,000","173,654,000","176,118,000","174,314,000","171,726,000","171,776,000","173,993,000","173,965,000","175,125,000","171,711,000","169,636,000","169,417,000","170,202,000","169,307,000","166,977,000","168,853,000","167,470,000","170,003,000","168,844,000","172,753,000","176,667,000","165,646,000","165,345,000","163,498,000","162,142,000","162,178,000","165,159,000","165,771,000","163,840,000","164,609,000","163,752,000","161,004,000","159,462,000","167,553,000","163,366,000",
				OtherProperties,"527,603,000","523,474,000","527,983,000","526,336,000","523,646,000","520,724,000","503,990,000","229,653,000","488,769,000","227,114,000","478,407,000","472,493,000","469,467,000","448,292,000","468,914,000","243,654,000","222,582,000","225,672,000","222,439,000","216,599,000","214,142,000","209,267,000","204,837,000","201,827,000","197,107,000","195,359,000","192,473,000","186,405,000","187,305,000","184,189,000","181,573,000","178,378,000","182,540,000","178,318,000","175,275,000","174,667,000","174,484,000","172,355,000","172,083,000","168,452,000","173,654,000",,,,"171,776,000",,,,"171,711,000","169,636,000",,,,,,,,,,,,,,,,,,,,,,,,,
				ConstructionInProgress,"26,652,000","27,815,000","10,289,000","9,650,000","9,792,000","13,014,000","14,784,000","14,784,000","28,890,000","28,890,000","39,806,000","42,705,000","26,649,000","29,314,000","27,832,000","31,822,000","56,383,000","34,109,000","26,689,000","32,482,000","5,714,000","5,254,000","6,197,000","7,816,000","6,409,000","6,141,000","5,563,000","9,633,000","4,440,000","4,773,000","3,296,000","6,179,000","3,042,000","9,298,000","6,609,000","8,900,000","5,308,000","4,045,000","5,187,000","9,967,000","2,064,000","2,756,000","3,012,000","6,052,000","3,343,000","3,990,000","3,721,000","4,028,000","2,491,000","3,093,000","2,133,000","4,499,000","1,356,000","4,836,000","2,115,000","1,881,000","1,852,000","1,289,000","1,047,000","2,361,000","1,959,000","1,852,000","2,162,000","2,132,000","4,406,000","3,331,000","2,030,000","2,892,000","4,131,000","4,029,000","8,018,000","6,114,000","6,466,000","8,575,000",
